id	name	colorfulness	minEnergy	alpha	lightning	globalActivity	nbWhiteFrames	nbSceneCuts	cutLength	flatness_env	wtf_max2stdratio_1	wtf_max2stdratio_2	wtf_max2stdratio_3	wtf_max2stdratio_4	wtf_max2stdratio_5	wtf_max2stdratio_6	wtf_max2stdratio_7	wtf_max2stdratio_8	wtf_max2stdratio_9	wtf_max2stdratio_10	wtf_max2stdratio_11	wtf_max2stdratio_12	medianLightness	slope
21	ACCEDE00021.mp4	34.275852	0.822724	44	0.125104	0.079194	0	2	65	0	5.26E+00	5.28E+00	5.00E+00	4.46E+00	3.98E+00	3.44E+00	2.73E+00	2.02E+00	1.54E+00	1.42E+00	1.41E+00	2.33E+15	0.341176	1.398485
22	ACCEDE00022.mp4	68.693161	1.018264	31	0.217649	0.356021	0	14	18.785715	0	5.27E+00	5.33E+00	4.94E+00	4.49E+00	3.98E+00	3.37E+00	2.61E+00	1.93E+00	1.52E+00	1.42E+00	1.41E+00	3.22E+15	0.807843	1.28486
23	ACCEDE00023.mp4	64.895432	0.793273	28	0.25072	0.197321	0	1	90	0	5.41E+00	5.56E+00	5.22E+00	4.76E+00	4.23E+00	3.57E+00	2.77E+00	1.96E+00	1.53E+00	1.42E+00	1.41E+00	2.49E+15	0.235294	1.445873
24	ACCEDE00024.mp4	59.85144	0.948931	30	0.141707	0.361081	0	5	43.799999	0	5.16E+00	5.21E+00	5.00E+00	4.60E+00	4.17E+00	3.60E+00	2.90E+00	2.20E+00	1.59E+00	1.42E+00	1.41E+00	2.97E+15	0.803922	1.273943
25	ACCEDE00025.mp4	90.527412	0.998918	57	1.141695	0.969585	0	8	34	0	5.05E+00	4.82E+00	4.56E+00	4.31E+00	4.01E+00	3.49E+00	2.92E+00	2.10E+00	1.55E+00	1.42E+00	1.41E+00	9.68E+14	0.278431	1.372657
26	ACCEDE00026.mp4	34.954681	1.006855	35	0.129385	0.198779	0	3	57.666668	0.817658	4.98E+00	4.87E+00	4.59E+00	4.28E+00	3.98E+00	3.44E+00	2.89E+00	2.06E+00	1.55E+00	1.42E+00	1.41E+00	1.01E+15	0.235294	1.371022
27	ACCEDE00027.mp4	81.386932	0.601793	47	0.175526	0.414209	0	0	0	0.425561	5.05E+00	4.83E+00	4.50E+00	4.20E+00	3.94E+00	3.47E+00	2.92E+00	2.11E+00	1.57E+00	1.42E+00	1.41E+00	1.03E+15	0.301961	1.384016
28	ACCEDE00028.mp4	59.150707	0.365996	55	1.092399	0.093067	0	1	124	0.403393	4.99E+00	4.76E+00	4.40E+00	4.12E+00	3.88E+00	3.46E+00	2.85E+00	2.07E+00	1.56E+00	1.42E+00	1.41E+00	8.97E+14	0.141176	1.43896
29	ACCEDE00029.mp4	71.673912	0.979842	21	0.430875	0.243932	0	0	0	0	5.37E+00	5.61E+00	5.11E+00	4.60E+00	4.10E+00	3.47E+00	2.55E+00	1.82E+00	1.49E+00	1.42E+00	1.41E+00	3.78E+15	0.490196	1.358097
30	ACCEDE00030.mp4	47.12368	0.893374	44	0.848224	0.044233	0	1	101	21.745438	5.40E+00	5.51E+00	5.06E+00	4.54E+00	4.04E+00	3.36E+00	2.39E+00	1.69E+00	1.46E+00	1.42E+00	1.41E+00	3.47E+15	0.513726	1.361129
31	ACCEDE00031.mp4	34.82439	1.024988	44	0.533119	0.14871	0	2	36.5	0	5.33E+00	5.53E+00	5.12E+00	4.75E+00	4.07E+00	3.47E+00	2.59E+00	1.80E+00	1.48E+00	1.42E+00	1.41E+00	2.15E+15	0.388235	1.465555
32	ACCEDE00032.mp4	101.713058	1.609655	6	0.078671	0.077594	0	1	152	0	5.28E+00	5.44E+00	5.12E+00	4.73E+00	4.20E+00	3.49E+00	2.60E+00	1.81E+00	1.49E+00	1.42E+00	1.41E+00	3.41E+15	0.658824	1.379191
33	ACCEDE00033.mp4	49.620438	1.104319	112	0.203763	0.78233	0	2	88	0	5.42E+00	5.61E+00	5.18E+00	4.71E+00	4.10E+00	3.51E+00	2.58E+00	1.82E+00	1.48E+00	1.42E+00	1.41E+00	2.71E+15	0.352941	1.391773
34	ACCEDE00034.mp4	65.104584	0.884016	216	0.402707	0.066417	0	1	149	0	5.27E+00	5.13E+00	4.75E+00	4.26E+00	3.93E+00	3.44E+00	2.86E+00	2.33E+00	1.72E+00	1.44E+00	1.41E+00	1.51E+15	0.92549	1.366723
35	ACCEDE00035.mp4	31.299503	1.093986	43	0.806313	0.183312	0	1	186	0	5.32E+00	5.56E+00	5.11E+00	4.67E+00	4.13E+00	3.43E+00	2.50E+00	1.79E+00	1.48E+00	1.42E+00	1.41E+00	2.07E+15	0.32549	1.487883
36	ACCEDE00036.mp4	50.414249	1.414422	15	0.495901	0.106002	0	0	0	0.103517	5.29E+00	5.57E+00	5.23E+00	4.80E+00	4.34E+00	3.65E+00	2.77E+00	2.02E+00	1.57E+00	1.43E+00	1.41E+00	4.23E+15	0.196078	1.406189
37	ACCEDE00037.mp4	48.648979	1.453669	4	0.268875	0.030936	0	0	0	0.035277	5.41E+00	5.53E+00	5.24E+00	4.71E+00	4.30E+00	3.58E+00	2.75E+00	1.98E+00	1.54E+00	1.42E+00	1.41E+00	2.48E+15	0.223529	1.387024
38	ACCEDE00038.mp4	45.807919	1.421916	24	0.195383	0.085675	0	0	0	0	5.36E+00	5.44E+00	5.18E+00	4.75E+00	4.27E+00	3.82E+00	3.02E+00	2.18E+00	1.62E+00	1.42E+00	1.41E+00	2.85E+15	0.207843	1.416752
39	ACCEDE00039.mp4	47.444893	1.175591	15	0.327492	0.094756	0	0	0	0	5.27E+00	5.35E+00	5.07E+00	4.72E+00	4.18E+00	3.57E+00	2.71E+00	1.87E+00	1.51E+00	1.42E+00	1.41E+00	4.41E+15	0.219608	1.401943
40	ACCEDE00040.mp4	40.229881	0.64299	185	0.864363	0.351137	0	10	12.3	0	5.31E+00	5.47E+00	5.21E+00	4.77E+00	4.30E+00	3.63E+00	2.81E+00	2.00E+00	1.56E+00	1.42E+00	1.41E+00	2.96E+15	0.368627	1.379296
41	ACCEDE00041.mp4	81.424911	1.020986	30	0.005995	0.157523	0	0	0	0	5.37E+00	5.35E+00	4.96E+00	4.49E+00	4.15E+00	3.78E+00	3.01E+00	2.28E+00	1.67E+00	1.43E+00	1.41E+00	1.85E+15	0.776471	1.404849
42	ACCEDE00042.mp4	41.432827	0.835764	15	0.115103	0.398036	0	2	103	0	5.35E+00	5.30E+00	4.91E+00	4.53E+00	4.16E+00	3.76E+00	2.97E+00	2.21E+00	1.62E+00	1.42E+00	1.41E+00	1.52E+15	0.215686	1.410867
43	ACCEDE00043.mp4	72.392433	1.011651	31	0.444042	0.396595	0	2	77.5	0	5.54E+00	5.59E+00	5.10E+00	4.62E+00	4.23E+00	3.78E+00	3.05E+00	2.28E+00	1.67E+00	1.43E+00	1.41E+00	2.03E+15	0.423529	1.398963
44	ACCEDE00044.mp4	39.495827	0.534688	44	0	0.783966	0	1	152	0	5.27E+00	5.32E+00	4.99E+00	4.58E+00	4.24E+00	3.76E+00	2.95E+00	2.21E+00	1.65E+00	1.43E+00	1.41E+00	1.99E+15	0.423529	1.426863
45	ACCEDE00045.mp4	53.705544	0.336116	86	0.503915	0.479862	0	4	33	0	5.03E+00	4.94E+00	4.55E+00	4.20E+00	3.83E+00	3.46E+00	2.88E+00	2.26E+00	1.63E+00	1.43E+00	1.41E+00	1.63E+15	0.654902	1.396929
46	ACCEDE00046.mp4	65.24025	0.902438	52	0.034226	0.012017	0	0	0	0.000385	5.17E+00	5.22E+00	4.90E+00	4.53E+00	3.92E+00	3.31E+00	2.77E+00	2.27E+00	1.63E+00	1.42E+00	1.41E+00	4.09E+15	0.372549	1.428834
47	ACCEDE00047.mp4	47.754246	0.544431	5	1.304257	0.091235	0	1	106	0.015904	5.19E+00	5.28E+00	4.93E+00	4.50E+00	3.91E+00	3.28E+00	2.69E+00	2.19E+00	1.63E+00	1.42E+00	1.41E+00	2.38E+15	0.427451	1.417518
48	ACCEDE00048.mp4	49.142597	1.640092	24	0.681958	0.294241	0	3	56	0	5.24E+00	5.30E+00	5.02E+00	4.59E+00	4.11E+00	3.49E+00	2.75E+00	2.13E+00	1.59E+00	1.42E+00	1.41E+00	2.80E+15	0.188235	1.427513
49	ACCEDE00049.mp4	62.651546	0.693595	21	0.28008	0.098995	0	0	0	0	5.24E+00	5.36E+00	5.05E+00	4.62E+00	4.05E+00	3.50E+00	2.77E+00	2.08E+00	1.56E+00	1.42E+00	1.41E+00	2.36E+15	0.741176	1.442661
50	ACCEDE00050.mp4	74.37793	0.98658	34	0.53317	0.123627	0	2	93.5	0.103309	5.27E+00	5.41E+00	5.08E+00	4.60E+00	4.12E+00	3.54E+00	2.78E+00	2.05E+00	1.56E+00	1.42E+00	1.41E+00	2.49E+15	0.662745	1.413189
51	ACCEDE00051.mp4	58.166504	0.773721	39	0.231685	0.272628	0	0	0	5.978525	5.30E+00	5.34E+00	5.02E+00	4.65E+00	4.10E+00	3.50E+00	2.75E+00	2.07E+00	1.58E+00	1.43E+00	1.41E+00	2.29E+15	0.666667	1.410604
52	ACCEDE00052.mp4	85.664063	0.882169	59	0.299267	0.933571	0	2	70.5	0	5.03E+00	4.91E+00	4.56E+00	4.15E+00	3.78E+00	3.37E+00	2.86E+00	2.25E+00	1.65E+00	1.42E+00	1.41E+00	1.15E+15	0.533333	1.419676
53	ACCEDE00053.mp4	77.578987	0.760094	34	0.517152	0.373725	0	4	41	0.033421	5.07E+00	5.02E+00	4.63E+00	4.21E+00	3.96E+00	3.44E+00	2.86E+00	2.27E+00	1.68E+00	1.43E+00	1.41E+00	1.70E+15	0.694118	1.416624
54	ACCEDE00054.mp4	64.604706	0.860904	44	0.08561	0.318002	0	3	38.333332	0	5.13E+00	5.07E+00	4.75E+00	4.28E+00	3.86E+00	3.39E+00	2.94E+00	2.21E+00	1.65E+00	1.43E+00	1.41E+00	1.74E+15	0.670588	1.338647
55	ACCEDE00055.mp4	96.382729	0.808995	29	0.420737	0.375936	0	4	45.5	0	5.28E+00	5.03E+00	4.53E+00	4.04E+00	3.71E+00	3.35E+00	2.88E+00	2.18E+00	1.62E+00	1.43E+00	1.41E+00	1.77E+15	0.776471	1.349515
56	ACCEDE00056.mp4	63.869358	0.862022	45	0.479668	0.724399	0	6	23.333334	0.103364	5.16E+00	4.77E+00	4.24E+00	3.81E+00	3.60E+00	3.30E+00	2.82E+00	2.15E+00	1.59E+00	1.43E+00	1.41E+00	1.82E+15	0.466667	1.450359
57	ACCEDE00057.mp4	32.902199	0.782412	15	0.00145	0.139978	0	2	86.5	0.026802	5.32E+00	5.44E+00	5.04E+00	4.54E+00	4.01E+00	3.42E+00	2.46E+00	1.75E+00	1.48E+00	1.42E+00	1.41E+00	2.16E+15	0.282353	1.410996
58	ACCEDE00058.mp4	93.796249	0.895168	29	0.891843	0.249322	0	2	73.5	0.032032	5.04E+00	4.84E+00	4.50E+00	4.10E+00	3.74E+00	3.50E+00	2.89E+00	2.14E+00	1.59E+00	1.43E+00	1.41E+00	1.33E+15	0.388235	1.395318
59	ACCEDE00059.mp4	83.671951	0.804874	28	0.320783	0.303469	0	2	72	0	5.15E+00	4.93E+00	4.57E+00	4.11E+00	3.75E+00	3.42E+00	2.86E+00	2.18E+00	1.60E+00	1.42E+00	1.41E+00	1.64E+15	0.847059	1.376581
60	ACCEDE00060.mp4	89.612862	0.761407	66	0.542206	1.126421	0	6	34.666668	0	5.07E+00	4.93E+00	4.62E+00	4.19E+00	3.80E+00	3.48E+00	2.88E+00	2.21E+00	1.63E+00	1.43E+00	1.41E+00	1.48E+15	0.341176	1.332347
61	ACCEDE00061.mp4	94.287453	0.410301	44	0.14198	0.046791	0	2	108	0	5.26E+00	5.12E+00	4.78E+00	4.33E+00	3.92E+00	3.61E+00	2.96E+00	2.18E+00	1.58E+00	1.42E+00	1.41E+00	1.44E+15	0.360784	1.384023
62	ACCEDE00062.mp4	87.147354	0.792374	29	0.056646	0.572593	0	4	33.75	0	5.01E+00	4.79E+00	4.50E+00	4.11E+00	3.83E+00	3.46E+00	2.93E+00	2.26E+00	1.66E+00	1.43E+00	1.41E+00	1.41E+15	0.862745	1.411827
63	ACCEDE00063.mp4	79.852745	0.750672	29	0.391437	0.116663	0	2	73.5	0	5.24E+00	5.06E+00	4.73E+00	4.29E+00	3.88E+00	3.55E+00	2.98E+00	2.25E+00	1.63E+00	1.44E+00	1.41E+00	1.51E+15	0.643137	1.338457
64	ACCEDE00064.mp4	61.110542	1.488206	213	0.253802	0.099528	0	2	54.5	0	5.02E+00	4.95E+00	4.59E+00	4.19E+00	3.88E+00	3.40E+00	2.86E+00	2.21E+00	1.63E+00	1.43E+00	1.41E+00	1.75E+15	0.803922	1.34739
65	ACCEDE00065.mp4	65.923599	0.618454	359	0.671847	0.228278	0	1	140	0	5.13E+00	5.11E+00	4.78E+00	4.29E+00	3.90E+00	3.40E+00	2.86E+00	2.38E+00	1.72E+00	1.44E+00	1.41E+00	2.39E+15	0.317647	1.317663
66	ACCEDE00066.mp4	59.408585	0.424933	34	0.467064	0.334777	0	1	60	0	5.10E+00	4.89E+00	4.45E+00	4.00E+00	3.69E+00	3.54E+00	2.83E+00	2.25E+00	1.64E+00	1.42E+00	1.41E+00	1.83E+15	0.498039	1.391544
67	ACCEDE00067.mp4	52.327351	0.905168	188	0.880943	0.026386	0	1	80	0	5.01E+00	4.92E+00	4.43E+00	3.87E+00	3.59E+00	3.46E+00	2.87E+00	2.20E+00	1.59E+00	1.43E+00	1.41E+00	1.27E+15	0.815686	1.419719
68	ACCEDE00068.mp4	50.718506	1.024498	81	0.050464	0.072674	0	2	92.5	16.354071	5.33E+00	5.48E+00	5.13E+00	4.58E+00	4.04E+00	3.36E+00	2.43E+00	1.71E+00	1.47E+00	1.42E+00	1.41E+00	2.73E+15	0.396078	1.375795
69	ACCEDE00069.mp4	53.249649	0.7426	42	0.811442	0.104528	0	1	135	0	5.30E+00	5.37E+00	5.06E+00	4.54E+00	4.02E+00	3.63E+00	2.98E+00	2.15E+00	1.56E+00	1.42E+00	1.41E+00	2.70E+15	0.482353	1.396924
70	ACCEDE00070.mp4	73.821518	0.754417	30	0.603887	0.151724	0	2	72.5	0	5.24E+00	5.25E+00	4.89E+00	4.47E+00	3.96E+00	3.55E+00	2.93E+00	2.17E+00	1.58E+00	1.42E+00	1.41E+00	2.70E+15	0.478431	1.374632
71	ACCEDE00071.mp4	43.998611	1.233085	196	0.253608	0.113949	0	1	96	0	5.22E+00	5.32E+00	5.03E+00	4.50E+00	4.03E+00	3.59E+00	2.99E+00	2.15E+00	1.56E+00	1.42E+00	1.41E+00	2.77E+15	0.827451	1.324889
72	ACCEDE00072.mp4	52.797993	0.931201	43	0.906711	0.124381	0	0	0	0	5.20E+00	5.26E+00	4.93E+00	4.39E+00	3.89E+00	3.57E+00	3.01E+00	2.13E+00	1.57E+00	1.42E+00	1.41E+00	3.13E+15	0.521569	1.389383
73	ACCEDE00073.mp4	61.295837	0.66975	196	0.485519	0.013874	0	0	0	0	5.03E+00	4.79E+00	4.30E+00	3.79E+00	3.56E+00	3.48E+00	2.86E+00	2.24E+00	1.61E+00	1.42E+00	1.41E+00	1.35E+15	0.305882	1.338581
74	ACCEDE00074.mp4	47.364319	0.512332	196	0.458122	0.026428	0	0	0	0	4.98E+00	4.71E+00	4.25E+00	3.82E+00	3.60E+00	3.44E+00	2.89E+00	2.24E+00	1.61E+00	1.42E+00	1.41E+00	1.63E+15	0.141176	1.390901
75	ACCEDE00075.mp4	51.064575	0.539536	217	0.842584	0.011927	0	0	0	1.282995	5.36E+00	5.44E+00	5.14E+00	4.55E+00	4.07E+00	3.54E+00	2.78E+00	2.03E+00	1.56E+00	1.42E+00	1.41E+00	3.67E+15	0.109804	1.330641
76	ACCEDE00076.mp4	80.250435	0.977944	28	0.394688	0.021571	0	0	0	0	5.49E+00	5.58E+00	5.36E+00	4.86E+00	4.18E+00	3.59E+00	2.78E+00	1.92E+00	1.53E+00	1.42E+00	1.41E+00	4.92E+15	0.282353	1.393124
77	ACCEDE00077.mp4	58.978878	0.745713	12	1.06367	0.035517	0	1	90	0.169397	5.51E+00	5.60E+00	5.31E+00	4.69E+00	4.15E+00	3.56E+00	2.71E+00	1.94E+00	1.52E+00	1.42E+00	1.41E+00	2.98E+15	0.215686	1.372381
78	ACCEDE00078.mp4	67.315788	0.984782	12	1.019204	0.10901	0	1	54	0	5.72E+00	5.83E+00	5.49E+00	4.87E+00	4.18E+00	3.53E+00	2.76E+00	2.02E+00	1.53E+00	1.42E+00	1.41E+00	3.15E+15	0.243137	1.416474
79	ACCEDE00079.mp4	37.944389	0.729937	5	0.153592	0.329736	0	2	77.5	0	5.20E+00	5.17E+00	4.91E+00	4.45E+00	3.92E+00	3.43E+00	2.60E+00	1.88E+00	1.51E+00	1.42E+00	1.41E+00	1.63E+15	0.470588	1.458355
80	ACCEDE00080.mp4	76.122414	0.927887	26	0.173039	0.468792	0	3	54.666668	0	5.09E+00	5.00E+00	4.71E+00	4.13E+00	3.80E+00	3.43E+00	2.85E+00	2.19E+00	1.62E+00	1.43E+00	1.41E+00	1.54E+15	0.572549	1.236313
81	ACCEDE00081.mp4	78.156197	0.59872	31	0.114147	0.060559	0	1	136	0	5.17E+00	5.08E+00	4.76E+00	4.20E+00	3.78E+00	3.45E+00	2.90E+00	2.22E+00	1.63E+00	1.43E+00	1.41E+00	1.48E+15	0.694118	1.366203
82	ACCEDE00082.mp4	66.894424	1.333578	51	0.778407	0.446882	0	0	0	0.004694	5.19E+00	5.15E+00	4.76E+00	4.14E+00	3.68E+00	3.38E+00	2.99E+00	2.34E+00	1.67E+00	1.43E+00	1.41E+00	1.56E+15	0.454902	1.443455
83	ACCEDE00083.mp4	82.422523	1.005251	50	0.237538	0.092015	0	0	0	0.000498	5.07E+00	5.11E+00	4.72E+00	4.23E+00	3.74E+00	3.37E+00	2.91E+00	2.30E+00	1.68E+00	1.43E+00	1.41E+00	1.91E+15	0.454902	1.481416
84	ACCEDE00084.mp4	80.368546	0.968677	40	0	0.803254	0	2	43.5	0	5.18E+00	5.12E+00	4.80E+00	4.22E+00	3.74E+00	3.45E+00	3.01E+00	2.34E+00	1.65E+00	1.43E+00	1.41E+00	2.24E+15	0.501961	1.469392
85	ACCEDE00085.mp4	98.199493	0.789979	25	0.402225	0.225398	0	2	90	0	5.41E+00	5.35E+00	4.86E+00	4.16E+00	3.79E+00	3.51E+00	2.93E+00	2.18E+00	1.61E+00	1.43E+00	1.41E+00	2.04E+15	0.682353	1.315836
86	ACCEDE00086.mp4	10.444898	1.416383	62	1.354553	0.621713	0	4	51	0	4.98E+00	4.83E+00	4.75E+00	4.52E+00	3.92E+00	3.42E+00	2.85E+00	2.09E+00	1.57E+00	1.42E+00	1.41E+00	1.49E+15	0.121569	1.300749
87	ACCEDE00087.mp4	13.337311	1.352685	253	0.486092	0.170322	0	0	0	0.04384	4.97E+00	4.81E+00	4.64E+00	4.39E+00	3.86E+00	3.39E+00	2.92E+00	2.10E+00	1.58E+00	1.42E+00	1.41E+00	1.38E+15	0.082353	1.430825
88	ACCEDE00088.mp4	15.385768	1.193168	61	1.606315	0.476929	0	4	44.75	0	5.04E+00	4.85E+00	4.70E+00	4.47E+00	3.91E+00	3.44E+00	2.86E+00	2.12E+00	1.55E+00	1.42E+00	1.41E+00	1.64E+15	0.227451	1.258842
89	ACCEDE00089.mp4	16.011015	1.148398	218	1.243823	0.244556	0	1	33	0	4.96E+00	4.79E+00	4.58E+00	4.34E+00	3.87E+00	3.41E+00	2.86E+00	2.08E+00	1.55E+00	1.42E+00	1.41E+00	1.36E+15	0.043137	1.420935
90	ACCEDE00090.mp4	37.261528	0.538779	5	0.761265	0.635358	0	4	42	0	5.18E+00	5.24E+00	4.99E+00	4.49E+00	3.90E+00	3.41E+00	2.57E+00	1.86E+00	1.51E+00	1.42E+00	1.41E+00	1.70E+15	0.498039	1.439592
91	ACCEDE00091.mp4	37.38562	0.801292	10	1.800056	0.189171	0	2	43	0	4.97E+00	4.80E+00	4.21E+00	3.84E+00	3.68E+00	3.37E+00	2.87E+00	2.15E+00	1.57E+00	1.42E+00	1.41E+00	1.34E+15	0.67451	1.318927
92	ACCEDE00092.mp4	54.990639	0.456739	39	0.498947	0.44007	0	3	17.333334	0	4.98E+00	4.76E+00	4.15E+00	3.89E+00	3.73E+00	3.44E+00	2.88E+00	2.13E+00	1.56E+00	1.42E+00	1.41E+00	1.32E+15	0.309804	1.280865
93	ACCEDE00093.mp4	36.967213	0.451676	55	0.477082	0.863874	0	5	44	0	4.96E+00	4.69E+00	4.05E+00	3.79E+00	3.73E+00	3.47E+00	2.84E+00	2.11E+00	1.57E+00	1.42E+00	1.41E+00	1.18E+15	0.388235	1.394676
94	ACCEDE00094.mp4	56.74461	0.43204	39	0.44929	0.818241	0	6	31.666666	0	4.76E+00	4.43E+00	3.87E+00	3.72E+00	3.58E+00	3.40E+00	2.82E+00	2.17E+00	1.60E+00	1.43E+00	1.41E+00	1.01E+15	0.321569	1.278073
95	ACCEDE00095.mp4	50.820427	1.147502	18	0.69084	0.305955	0	2	92.5	0	4.88E+00	4.51E+00	4.12E+00	3.92E+00	3.80E+00	3.51E+00	2.87E+00	2.17E+00	1.62E+00	1.42E+00	1.41E+00	1.09E+15	0.764706	1.377588
